지역명,의료기관수,구급차 수,응급 구조사 수 (@구급차),병상 수,응급실도달시간(평균),뇌졸중 환자 병원 이송 구급차 비율,뇌졸중 환자 병원 이송 기타 자동차 비율,뇌졸중 환자 병원 이송 도보 이용 비율,뇌졸중 환자 귀가율,뇌졸중 환자 입원율,뇌졸중 환자 사망률,뇌졸중 사망장소  주택,뇌졸중 사망장소 의료기관,뇌졸중 사망장소 이송중,뇌졸중 사망자 퇴원후 30일 이내,뇌졸중 사망자 퇴원후 30~60,뇌졸중 사망자 퇴원후 60~90,뇌졸중 사망자 퇴원후 90~180,뇌졸중 사망자 퇴원후 181 이상,개인소득,인구 합계,인구 15-19세,인구 20-24세,인구 25-29세,인구 30-34세,인구 35-39세,인구 40-44세,인구 45-49세,인구 50-54세,인구55-59세,인구 60-64세,인구 65-69세,인구 70세 이상
전체,517.000000 ,7668.000000 ,21919.000000 ,716292.000000 ,5.152577 ,0.594433 ,0.394466 ,0.007034 ,0.120852 ,0.873018 ,0.005006 ,0.028205 ,0.952269 ,0.001509 ,0.536817 ,0.152998 ,0.087963 ,0.130511 ,0.057540 ,21342.000000 ,43971375.000000 ,2386982.000000 ,2934062.000000 ,3465983.000000 ,3101255.000000 ,3651488.000000 ,3795954.000000 ,4223142.000000 ,4268496.000000 ,4110017.000000 ,3809228.000000 ,2695368.000000 ,5529400.000000 
서울,66.000000 ,791.000000 ,2231.000000 ,89744.000000 ,5.574504 ,0.554015 ,0.432201 ,0.010546 ,0.134186 ,0.861953 ,0.003737 ,0.035734 ,0.943692 ,0.000000 ,0.518318 ,0.188602 ,0.089552 ,0.116689 ,0.052917 ,24226.000000 ,8270312.000000 ,397838.000000 ,579902.000000 ,800720.000000 ,703019.000000 ,721169.000000 ,690359.000000 ,759721.000000 ,743966.000000 ,710147.000000 ,685434.000000 ,507254.000000 ,970783.000000 
부산,36.000000 ,432.000000 ,1712.000000 ,70748.000000 ,4.792734 ,0.653625 ,0.333333 ,0.005900 ,0.100605 ,0.895824 ,0.003416 ,0.008532 ,0.988055 ,0.000000 ,0.555556 ,0.131687 ,0.123457 ,0.115226 ,0.065844 ,20460.000000 ,2933554.000000 ,140597.000000 ,193187.000000 ,219212.000000 ,186321.000000 ,222179.000000 ,234032.000000 ,258346.000000 ,271607.000000 ,280018.000000 ,290284.000000 ,223400.000000 ,414371.000000 
대구,19.000000 ,314.000000 ,1089.000000 ,39361.000000 ,5.320984 ,0.589301 ,0.383052 ,0.027233 ,0.120957 ,0.870196 ,0.007603 ,0.012750 ,0.976321 ,0.000000 ,0.579167 ,0.158333 ,0.079167 ,0.075000 ,0.091667 ,20229.000000 ,2082129.000000 ,117005.000000 ,145598.000000 ,157939.000000 ,133197.000000 ,157080.000000 ,172455.000000 ,202606.000000 ,212979.000000 ,205362.000000 ,184337.000000 ,134750.000000 ,258821.000000 
인천,20.000000 ,306.000000 ,1021.000000 ,35078.000000 ,5.165756 ,0.624779 ,0.368793 ,0.000482 ,0.071991 ,0.923831 ,0.003053 ,0.024030 ,0.939002 ,0.007394 ,0.526786 ,0.174107 ,0.089286 ,0.129464 ,0.049107 ,20310.000000 ,2488810.000000 ,133476.000000 ,159332.000000 ,208295.000000 ,182660.000000 ,215728.000000 ,224030.000000 ,245453.000000 ,249969.000000 ,249702.000000 ,218333.000000 ,138857.000000 ,262975.000000 
광주,25.000000 ,261.000000 ,740.000000 ,39793.000000 ,5.410572 ,0.683802 ,0.302813 ,0.009893 ,0.145490 ,0.848497 ,0.005044 ,0.012097 ,0.987903 ,0.000000 ,0.550459 ,0.128440 ,0.137615 ,0.082569 ,0.064220 ,21591.000000 ,1247241.000000 ,79500.000000 ,99574.000000 ,102122.000000 ,82015.000000 ,103448.000000 ,113042.000000 ,127127.000000 ,124801.000000 ,110618.000000 ,97884.000000 ,66298.000000 ,140812.000000 
대전,11.000000 ,193.000000 ,881.000000 ,24003.000000 ,5.414211 ,0.586809 ,0.409112 ,0.002947 ,0.129193 ,0.865367 ,0.005440 ,0.038869 ,0.950530 ,0.000000 ,0.449541 ,0.155963 ,0.064220 ,0.165138 ,0.082569 ,21707.000000 ,1279081.000000 ,81825.000000 ,110979.000000 ,110359.000000 ,90351.000000 ,102060.000000 ,108689.000000 ,124134.000000 ,123764.000000 ,114309.000000 ,104054.000000 ,71077.000000 ,137480.000000 
울산,13.000000 ,124.000000 ,530.000000 ,15345.000000 ,4.819461 ,0.641983 ,0.340269 ,0.014076 ,0.053244 ,0.941248 ,0.005508 ,0.016129 ,0.959677 ,0.008065 ,0.485714 ,0.142857 ,0.085714 ,0.200000 ,0.085714 ,23863.000000 ,952574.000000 ,52238.000000 ,59299.000000 ,72704.000000 ,67772.000000 ,84119.000000 ,88235.000000 ,96179.000000 ,105294.000000 ,101022.000000 ,85707.000000 ,55619.000000 ,84386.000000 
세종,2.000000 ,37.000000 ,155.000000 ,1991.000000 ,3.511062 ,0.570796 ,0.429204 ,0.000000 ,0.110619 ,0.876106 ,0.013274 ,0.026316 ,0.973684 ,0.000000 ,0.461538 ,0.153846 ,0.000000 ,0.230769 ,0.076923 ,21407.000000 ,276942.000000 ,18717.000000 ,19133.000000 ,20227.000000 ,25290.000000 ,34394.000000 ,34777.000000 ,31039.000000 ,23590.000000 ,19820.000000 ,17166.000000 ,11547.000000 ,21242.000000 
경기,91.000000 ,1739.000000 ,3899.000000 ,139190.000000 ,5.077856 ,0.579651 ,0.415563 ,0.003749 ,0.154395 ,0.840699 ,0.003550 ,0.034184 ,0.934660 ,0.003894 ,0.571148 ,0.159961 ,0.075564 ,0.122669 ,0.044161 ,21220.000000 ,11181195.000000 ,639924.000000 ,735804.000000 ,916093.000000 ,844951.000000 ,1026075.000000 ,1066912.000000 ,1157341.000000 ,1126866.000000 ,1040494.000000 ,893654.000000 ,583559.000000 ,1149522.000000 
강원,26.000000 ,894.000000 ,1221.000000 ,17216.000000 ,4.977098 ,0.583937 ,0.408607 ,0.000213 ,0.104602 ,0.891351 ,0.003835 ,0.030635 ,0.951860 ,0.000000 ,0.554913 ,0.144509 ,0.075145 ,0.132948 ,0.052023 ,20267.000000 ,1323457.000000 ,71065.000000 ,86918.000000 ,83224.000000 ,73587.000000 ,88952.000000 ,98687.000000 ,118030.000000 ,127317.000000 ,131765.000000 ,135592.000000 ,95748.000000 ,212572.000000 
충북,21.000000 ,277.000000 ,798.000000 ,21503.000000 ,4.672244 ,0.605318 ,0.388706 ,0.005079 ,0.109949 ,0.884972 ,0.005079 ,0.018051 ,0.945848 ,0.003610 ,0.518797 ,0.142857 ,0.075188 ,0.135338 ,0.060150 ,20029.000000 ,1384502.000000 ,77951.000000 ,99293.000000 ,103442.000000 ,89559.000000 ,105671.000000 ,110387.000000 ,124945.000000 ,134634.000000 ,132543.000000 ,126445.000000 ,88705.000000 ,190927.000000 
충남,20.000000 ,372.000000 ,1331.000000 ,28740.000000 ,4.879503 ,0.621452 ,0.370087 ,0.000546 ,0.094978 ,0.897653 ,0.006550 ,0.039494 ,0.941548 ,0.000000 ,0.483986 ,0.120996 ,0.088968 ,0.202847 ,0.064057 ,20393.000000 ,1816677.000000 ,104181.000000 ,120232.000000 ,123335.000000 ,121958.000000 ,148165.000000 ,153481.000000 ,166172.000000 ,165235.000000 ,166191.000000 ,154926.000000 ,113996.000000 ,278805.000000 
전북,21.000000 ,326.000000 ,1094.000000 ,39878.000000 ,5.226796 ,0.580791 ,0.401291 ,0.009847 ,0.131073 ,0.853430 ,0.005650 ,0.020408 ,0.963893 ,0.000000 ,0.512048 ,0.138554 ,0.069277 ,0.144578 ,0.069277 ,19991.000000 ,1554030.000000 ,91699.000000 ,107618.000000 ,99547.000000 ,83816.000000 ,104228.000000 ,118472.000000 ,142094.000000 ,146619.000000 ,144214.000000 ,140429.000000 ,106397.000000 ,268897.000000 
전남,51.000000 ,422.000000 ,1312.000000 ,40851.000000 ,4.847795 ,0.584832 ,0.398236 ,0.000353 ,0.071252 ,0.922751 ,0.005291 ,0.024668 ,0.963947 ,0.000000 ,0.567347 ,0.146939 ,0.097959 ,0.126531 ,0.020408 ,19873.000000 ,1536767.000000 ,79780.000000 ,83824.000000 ,89255.000000 ,78623.000000 ,102335.000000 ,113597.000000 ,133893.000000 ,147295.000000 ,148867.000000 ,146057.000000 ,110505.000000 ,302736.000000 
경북,39.000000 ,521.000000 ,1849.000000 ,43676.000000 ,4.402428 ,0.626444 ,0.360594 ,0.000471 ,0.073062 ,0.923639 ,0.003064 ,0.023684 ,0.960526 ,0.001316 ,0.512281 ,0.108772 ,0.112281 ,0.185965 ,0.066667 ,19798.000000 ,2276922.000000 ,117159.000000 ,136489.000000 ,137584.000000 ,129031.000000 ,160370.000000 ,171187.000000 ,200239.000000 ,218685.000000 ,226578.000000 ,222888.000000 ,170946.000000 ,385766.000000 
경남,50.000000 ,571.000000 ,1727.000000 ,64261.000000 ,5.025471 ,0.626906 ,0.366816 ,0.004664 ,0.077130 ,0.905112 ,0.017758 ,0.028892 ,0.964687 ,0.000000 ,0.541935 ,0.145161 ,0.100000 ,0.106452 ,0.067742 ,19759.000000 ,2812344.000000 ,151433.000000 ,162845.000000 ,181328.000000 ,173076.000000 ,228142.000000 ,246703.000000 ,277583.000000 ,289432.000000 ,277498.000000 ,260807.000000 ,185726.000000 ,377771.000000 
제주,6.000000 ,88.000000 ,329.000000 ,4914.000000 ,4.547062 ,0.605550 ,0.380305 ,0.005985 ,0.094668 ,0.901523 ,0.003808 ,0.037500 ,0.956250 ,0.000000 ,0.479167 ,0.187500 ,0.083333 ,0.125000 ,0.000000 ,19954.000000 ,554838.000000 ,32594.000000 ,34035.000000 ,40597.000000 ,36029.000000 ,47373.000000 ,50909.000000 ,58240.000000 ,56443.000000 ,50869.000000 ,45231.000000 ,30984.000000 ,71534.000000 
